contents,category
【午评：三大指数低开高走沪指涨0.24% 白酒股领涨两市】三大指数低开，开盘后震荡下行。盘面上，农业种植板块异动拉升，养殖业集体回调。随后指数开始回升，三大指数先后翻红，白酒板块持续拉升，光伏板块表现强势。临近上午收盘，指数红盘震荡，总体两市个股涨多跌少，市场气氛开始回暖。从盘面上看，白酒、钢铁、医美板块涨幅居前，汽车整车、有色加工冶炼、养殖业板块跌幅居前。,白酒
  美股三大指数涨跌互现，道指初步收跌约70点，能源股走高，银行股走低，爱彼迎上市首日收涨约110%。,银行
  【白酒股午后走弱 青青稞酒触及跌停】青青稞酒午后触及跌停，青海春天跌超9%，金徽酒、老白干酒、金枫酒业等个股纷纷下挫。,白酒
中国人民银行、国家外汇管理局调整跨境融资宏观审慎调节参数。,银行
中国央行、外汇局：为进一步完善全口径跨境融资宏观审慎管理，引导金融机构市场化调节外汇资产负债结构，中国人民银行、国家外汇管理局决定将金融机构的跨境融资宏观审慎调节参数从1.25下调至1。金融机构应树立“风险中性”理念，更好地服务经济社会发展。,银行
【“品今系”私募理财产品大量逾期无法兑付 基金财产去向成谜】记者近日从多个信源获悉，品今（北京）投资基金管理有限公司、品今（北京）资产管理有限公司涉嫌以私募之名违规募集资金，侵占、挪用基金财产，导致巨额资金去向不明，大量理财产品逾期无法兑付。从黑猫投诉平台了解到，针对品今的投诉已经超过200件。从投资者损失的金额来看，多则数百万，少则20万。在与投诉者沟通中，记者发现很多投资者在购买品今的私募理财产品中都遇到过“拼单代持”，而且没有进行投资者适当性审查。 （央广）,银行
【阿里巴巴投资有限公司、阅文集团和丰巢科技合计被罚150万】据市场监管总局官网14日消息，根据《反垄断法》规定，市场监管总局对阿里巴巴投资有限公司收购银泰商业（集团）有限公司股权、阅文集团收购新丽传媒控股有限公司股权、深圳市丰巢网络技术有限公司收购中邮智递科技有限公司股权等三起未依法申报违法实施经营者集中案进行了调查，并于2020年12月14日依据《反垄断法》第48条、49条作出处罚决定，对阿里巴巴投资有限公司、阅文集团和深圳市丰巢网络技术有限公司分别处以50万元人民币罚款的行政处罚。,银行
【收评：三大指数表现强势沪指涨0.7% 光伏概念领涨】三大指数早盘震荡翻红。盘面上，医美、白酒等消费板块表现强势。总体上，个股跌多涨少，有色、煤炭集体大跌，赚钱效应较差。盘面上，种植等农业板块持续大涨，医美、光伏延续强势，白酒股再度走强。市场成交额小幅放大，资金情绪较为积极。具体看，截止收盘，沪指报3369.12点，涨0.66%，成交额为3162亿元；深成指报13692.13点，涨1.01%，成交额为3935亿元；创指报2726.60点，涨1.44%，成交额为1620亿元。,白酒
市场消息：美联储正式加入清洁金融系统网络。,银行
  欧洲央行：银行股息将保持在2019至2020年度累计利润的15%以下。,银行
【发改委：抓好海南自贸港建设总体方案贯彻落实 推动早期政策落地】发改委新闻发言人孟玮：下一步，国家发展改革委将会同有关方面，继续抓好《海南自由贸易港建设总体方案》的贯彻落实，抓紧研究提出明年重点工作安排，持续推动早期政策落地，着力提升贸易投资自由化便利化水平，加快集聚优质生产要素，大力培育产业链、产业集群，不断推动海南自由贸易港建设取得新成效。,银行
【午评：三大指数下探回升沪指涨0.18% 白酒股回归强势】截止上午收盘，沪指报3373.16点，涨0.18%，成交额为1877亿元；深成指报13751.92点，跌0.08%，成交额为2369亿元；创指报2751.37点，跌0.27%，成交额为944.6亿元。从盘面上看，光伏、乳业、白酒板块涨幅居前，汽车、医美、软件板块跌幅居前。,白酒
中国央行：2020年12月23日（周三）中国人民银行将通过香港金融管理局债务工具中央结算系统（CMU）债券投标平台，招标发行2020年第十二期中央银行票据。第十二期中央银行票据期限6个月（182天），为固定利率附息债券，到期还本付息，发行量为人民币100亿元，起息日为2020年12月28日，到期日为2021年6月28日，到期日遇节假日顺延。,银行
  【银行股午后走强】厦门银行拉升触板，青农商行、青岛银行、苏农银行、郑州银行等跟涨。,银行
  钢铁板块拉升，凌钢股份封板，安阳钢铁、八一钢铁、酒钢宏兴、新钢股份等快速跟涨。,白酒
【午评：指数表现分化沪指涨0.13% 煤炭板块强势领涨】三大指数下探后再度拉升，主板表现较强。盘面上，昨日强势股溢价尚可，煤炭、电力板块集体发力，汽车板块也开始走高。资金情绪较为积极，赚钱效应较好，个股涨多跌少。临近上午收盘，三大指数逐步分化，创业板由弱转强。盘面上，汽车、锂电池板块较为活跃，煤炭、光伏也纷纷拉升，市场赚钱效应一般，个股跌多涨少。从盘面上看，煤炭、汽车、白酒板块涨幅居前，食品加工、云办公、农业养殖板块跌幅居前。,白酒
【收评：指数下探回升沪指跌0.3% 煤炭板块全天领涨】三大指数下探后再度拉升，主板表现较强。盘面上，昨日强势股溢价尚可，煤炭、电力板块集体发力，汽车板块也开始走高。资金情绪较为积极，赚钱效应较好，个股涨多跌少。午后，三大指数集体翻绿。盘面上，汽车、有色板块涨势回落，农业板块大幅拉升，市场赚钱效应转差，个股跌多涨少。尾盘，经过小幅回升之后，指数呈弱势盘整态势。煤炭板块强势依旧，白酒、汽车板块活跃度再度回升。总体上，市场赚钱效应一般。从盘面上看，煤炭、汽车、白酒板块涨幅居前，食品加工、云办公、农业养殖板块跌幅居前。,白酒
  恒指收跌0.67%，科技、大金融板块领跌，煤炭、黄金、光伏股走强，招金矿业大涨逾15%。恒生科技指数跌0.95%，中芯国际跌逾5%。,银行
美股银行股盘后集体上涨，花旗涨超4%，高盛涨超3%，摩根大通、摩根士丹利、富国银行均涨超2%；美联储允许银行在压力测试后恢复股票回购。,银行
美股银行股盘后集体大涨，花旗涨6%，摩根大通涨超5%，富国银行、摩根士丹利、美国银行涨超4%。美联储允许银行在压力测试后重启股票回购。摩根大通授权300亿美元股票回购。,银行
【今日财经日历大事件提醒】经济数据关注：①21:30 美国11月芝加哥联储全美活动指数；②23:00 欧元区12月消费者信心指数初值。全球央行和政府动态关注：09:30 中国1年期贷款市场报价利率（预估3.85%，现值3.85%）、中国5年期贷款市场报价利率（预估4.65%，现值4.65%）。,银行
【午评：两市震荡上行创指涨2.23% 农业板块大涨】三大指数开盘涨跌不一，开盘后震荡拉升，创指重回2800点，深成指重返14000点。盘面上，农业种植板块表现强势。临近上午收盘，创业板指涨幅扩大至2%，汽车、券商等板块先后拉升。总体市场氛围不错，个股涨多跌少，赚钱效应回升。截至上午收盘，沪指涨0.58%，报3414.72点；深成指涨1.34%，报收14039.93点；创指涨2.23%，报收2842.71点。从盘面上看，农业种植、半导体、啤酒板块涨幅居前，机场航运、景点旅游、医美概念跌幅居前。,白酒
