ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600641.SH,20211207,34.87,35.08,32.22,33.19,34.55,-1.36,-3.9363,191609.52,636333.536
600641.SH,20211206,35.7,35.88,33.9,34.55,35.65,-1.1,-3.0856,103979.76,362199.849
600641.SH,20211203,35.7,36.15,34.8,35.65,35.9,-0.25,-0.6964,121548.63,433146.747
600641.SH,20211202,35.96,36.22,34.21,35.9,36.0,-0.1,-0.2778,193211.86,678615.741
600641.SH,20211201,39.2,39.69,35.45,36.0,39.34,-3.34,-8.4901,315601.68,1161975.013
600641.SH,20211130,38.0,39.69,37.8,39.34,37.8,1.54,4.0741,149803.42,582186.255
600641.SH,20211129,37.37,38.3,37.2,37.8,37.58,0.22,0.5854,97605.9,368147.254
600641.SH,20211126,37.7,39.08,37.3,37.58,37.79,-0.21,-0.5557,145395.87,554712.54
600641.SH,20211125,37.49,38.69,37.15,37.79,37.99,-0.2,-0.5265,141719.49,538351.276
600641.SH,20211124,37.7,39.22,37.7,37.99,38.03,-0.04,-0.1052,151841.63,583236.816
600641.SH,20211123,38.66,39.18,37.77,38.03,38.8,-0.77,-1.9845,136622.45,523034.951
600641.SH,20211122,37.16,39.23,36.5,38.8,37.16,1.64,4.4133,174769.78,668803.212
600641.SH,20211119,36.82,38.5,36.82,37.16,37.3,-0.14,-0.3753,164254.78,618889.651
600641.SH,20211118,36.41,38.25,36.41,37.3,36.08,1.22,3.3814,230271.38,862917.592
600641.SH,20211117,33.27,36.08,32.95,36.08,32.8,3.28,10.0,251899.44,868778.123
600641.SH,20211116,36.0,36.21,32.51,32.8,36.0,-3.2,-8.8889,331149.46,1128843.949
600641.SH,20211115,38.42,38.76,35.14,36.0,38.38,-2.38,-6.2011,290526.97,1072291.192
600641.SH,20211112,36.6,38.88,36.4,38.38,37.16,1.22,3.2831,247799.65,939546.074
600641.SH,20211111,33.81,37.51,33.46,37.16,34.1,3.06,8.9736,472788.98,1727584.916
600641.SH,20211110,33.8,35.62,33.01,34.1,34.6,-0.5,-1.4451,175623.26,597252.071
600641.SH,20211109,34.92,36.1,34.51,34.6,35.53,-0.93,-2.6175,200178.74,708215.689
600641.SH,20211108,33.65,35.63,31.74,35.53,34.1,1.43,4.1935,243294.74,813541.955
600641.SH,20211105,34.78,36.11,33.6,34.1,34.8,-0.7,-2.0115,275047.3,951413.648
600641.SH,20211104,32.65,35.08,32.01,34.8,32.6,2.2,6.7485,255371.67,862418.239
600641.SH,20211103,31.9,33.34,31.26,32.6,31.59,1.01,3.1972,228409.35,740414.517
600641.SH,20211102,30.63,32.48,30.36,31.59,30.42,1.17,3.8462,209561.33,663019.368
600641.SH,20211101,30.15,30.87,28.8,30.42,30.92,-0.5,-1.6171,248700.81,742676.968
600641.SH,20211029,28.41,30.99,28.41,30.92,28.63,2.29,7.9986,273529.93,822866.944
600641.SH,20211028,29.0,29.48,28.5,28.63,28.97,-0.34,-1.1736,113993.54,329275.97
600641.SH,20211027,28.96,29.7,28.71,28.97,29.3,-0.33,-1.1263,115880.38,337036.71
600641.SH,20211026,29.01,30.3,28.78,29.3,29.26,0.04,0.1367,205509.04,609179.711
600641.SH,20211025,28.41,29.48,27.42,29.26,28.5,0.76,2.6667,185782.46,531627.603
600641.SH,20211022,27.22,28.96,27.02,28.5,27.5,1.0,3.6364,235930.06,668177.674
600641.SH,20211021,28.11,28.28,26.23,27.5,28.31,-0.81,-2.8612,216965.62,591856.156
600641.SH,20211020,27.5,28.57,27.31,28.31,27.62,0.69,2.4982,136902.03,383267.309
600641.SH,20211019,27.58,28.17,27.17,27.62,27.73,-0.11,-0.3967,122068.24,337202.565
600641.SH,20211018,28.09,28.27,26.8,27.73,28.28,-0.55,-1.9448,204003.02,557752.911
600641.SH,20211015,27.26,28.99,27.04,28.28,27.5,0.78,2.8364,278582.32,783817.078
600641.SH,20211014,26.05,27.66,25.51,27.5,25.98,1.52,5.8507,247808.65,666647.732
600641.SH,20211013,25.46,26.5,24.5,25.98,25.5,0.48,1.8824,152807.35,392346.99
600641.SH,20211012,26.55,26.85,25.17,25.5,26.59,-1.09,-4.0993,179980.52,466743.994
