日期,价格,成交额
20201207,138.45,4827006.69
20201208,137.89,3699224.94
20201209,136.28,3239452.2
20201210,136.45,2974239.21
20201211,134.87,4337289.16
20201214,136.45,3442798.85
20201215,135.67,3845796.05
20201216,134.79,2938763.68
20201217,136.66,3159052.62
20201218,136.02,4061836.17
20201221,136.83,4654539.57
20201222,135.72,5071135.4
20201223,134.52,4196062.6
20201224,133.35,3771749.95
20201225,134.3,3415873.58
20201228,133.44,3941589.55
20201229,133.93,3067989.75
20201230,133.22,3547281.53
20201231,135.92,4703460.71
20210104,133.17,6406525.48
20210105,134.11,6841969.78
20210106,131.58,6811762.07
20210107,128.69,6118394.75
20210108,129.68,5112445.25
20210111,129.4,6478220.74
20210112,130.3,5248898.68
20210113,131.19,9455817.61
20210114,132.49,9319146.54
20210115,132.68,6362571.35
20210118,135.9,5699115.92
20210119,141.42,8501870.76
20210120,140.03,5537514.89
20210121,141.72,5414368.47
20210122,140.33,5370657.7
20210125,141.04,5596148.3
20210126,141.77,4024949.97
20210127,140.56,4165734.87
20210128,138.55,4279191.93
20210129,132.3,4449100.88
20210201,134.57,3401408.05
20210202,134.16,3668286.28
20210203,132.49,3749105.99
20210204,131.15,4599780.01
20210205,131.53,4194934.88
20210208,133.28,3420879.19
20210209,133.57,3491130.02
20210210,134.18,2961749.87
20210218,137.58,4827445.67
20210219,140.2,5291237.9
20210222,140.03,6777282.62
20210223,138.07,4131964.85
20210224,138.91,4261678.49
20210225,147.13,14344493.59
20210226,145.05,7750112.66
20210301,145.96,5344213.73
20210302,145.85,5652745.3
20210303,147.43,4026652.55
20210304,144.32,4462357.56
20210305,140.99,4245253.14
20210308,137.37,3912138.09
20210309,135.57,5176133.85
20210310,134.58,3528772.59
20210311,136.68,3465658.97
20210312,139.36,8031416.42
20210315,138.84,6636499.25
20210316,142.13,5337945.58
20210317,142.7,4053770.83
20210318,144.11,3397910.73
20210319,140.82,5446019.93
20210322,144.06,4681566.98
20210323,143.25,4263366.1
20210324,138.64,3551274.95
20210325,137.76,3733898.43
20210326,138.01,3120423.13
20210329,138.48,3513098.63
20210330,141.1,3226519
20210331,140.7,3766345.36
20210401,139.88,3645447.52
20210402,142.74,2518154.98
20210406,142.31,2225360.17
20210407,143.37,2861236.43
20210408,140.29,3101341.12
20210409,139.59,2637807.5
20210412,139.49,4225552.07
20210413,139.33,2910194.25
20210414,140.26,2413100.15
20210415,139.21,2064548.66
20210416,141.21,2899529.64
20210419,142.14,4282167.94
