ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002304.SZ,20211207,176.9,177.0,171.32,172.2,175.75,-3.55,-2.0199,145197.87,2517663.177
002304.SZ,20211206,173.79,178.8,168.88,175.75,176.91,-1.16,-0.6557,175245.9,3059012.797
002304.SZ,20211203,174.49,177.9,174.0,176.91,174.48,2.43,1.3927,110083.39,1944439.127
002304.SZ,20211202,173.57,174.67,172.57,174.48,173.57,0.91,0.5243,48272.29,840459.465
002304.SZ,20211201,175.46,175.8,172.38,173.57,174.3,-0.73,-0.4188,59346.36,1028878.073
002304.SZ,20211130,178.0,178.5,174.2,174.3,175.85,-1.55,-0.8814,65043.88,1139492.696
002304.SZ,20211129,174.22,176.88,173.71,175.85,176.01,-0.16,-0.0909,67910.47,1188483.032
002304.SZ,20211126,175.39,177.0,173.5,176.01,175.1,0.91,0.5197,80093.84,1403124.959
002304.SZ,20211125,178.0,183.73,174.88,175.1,176.53,-1.43,-0.8101,147026.43,2628445.379
002304.SZ,20211124,173.99,178.73,173.99,176.53,173.47,3.06,1.764,161305.54,2851231.17
002304.SZ,20211123,177.38,177.5,173.01,173.47,178.96,-5.49,-3.0677,162434.5,2836862.499
002304.SZ,20211122,175.88,184.47,175.18,178.96,175.08,3.88,2.2161,117370.75,2122103.323
002304.SZ,20211119,174.0,178.2,174.0,175.08,174.6,0.48,0.2749,52607.04,926768.233
002304.SZ,20211118,174.72,176.28,173.8,174.6,175.8,-1.2,-0.6826,40575.54,708339.463
002304.SZ,20211117,177.4,179.0,174.61,175.8,177.75,-1.95,-1.097,52697.12,926403.069
002304.SZ,20211116,176.5,180.0,175.5,177.75,175.14,2.61,1.4902,66624.05,1186490.913
002304.SZ,20211115,173.6,177.0,173.35,175.14,174.37,0.77,0.4416,38719.98,679116.844
002304.SZ,20211112,177.98,178.19,173.3,174.37,177.0,-2.63,-1.4859,49980.3,874025.36
002304.SZ,20211111,176.0,177.3,173.84,177.0,175.92,1.08,0.6139,52439.0,920264.065
002304.SZ,20211110,180.0,180.79,174.5,175.92,179.2,-3.28,-1.8304,75860.09,1335468.994
002304.SZ,20211109,180.0,185.6,179.03,179.2,180.61,-1.41,-0.7807,74985.22,1360338.577
002304.SZ,20211108,182.5,184.46,177.24,180.61,185.5,-4.89,-2.6361,124506.19,2240338.832
002304.SZ,20211105,186.48,191.77,184.0,185.5,186.68,-1.18,-0.6321,88432.91,1653389.083
002304.SZ,20211104,176.0,188.5,175.21,186.68,174.94,11.74,6.7109,139245.92,2549608.533
002304.SZ,20211103,181.05,181.3,173.83,174.94,179.5,-4.56,-2.5404,63320.33,1122908.213
002304.SZ,20211102,184.42,186.7,175.0,179.5,186.1,-6.6,-3.5465,118218.54,2116988.174
002304.SZ,20211101,182.77,189.0,177.0,186.1,186.18,-0.08,-0.043,82496.92,1524214.815
002304.SZ,20211029,185.49,190.29,184.3,186.18,186.15,0.03,0.0161,79816.46,1496188.281
002304.SZ,20211028,180.0,189.48,179.43,186.15,179.39,6.76,3.7683,99672.53,1847108.747
002304.SZ,20211027,177.67,184.81,176.03,179.39,180.44,-1.05,-0.5819,77572.43,1393990.338
002304.SZ,20211026,180.9,182.4,177.6,180.44,181.2,-0.76,-0.4194,39498.25,712111.214
002304.SZ,20211025,181.2,183.06,180.03,181.2,182.5,-1.3,-0.7123,40550.91,735207.99
002304.SZ,20211022,180.93,184.99,179.66,182.5,180.49,2.01,1.1136,57488.88,1049821.196
002304.SZ,20211021,179.0,182.77,178.07,180.49,179.66,0.83,0.462,43244.44,778969.93
002304.SZ,20211020,179.98,181.0,175.75,179.66,176.86,2.8,1.5832,54727.88,977939.164
002304.SZ,20211019,169.01,179.5,169.0,176.86,171.6,5.26,3.0653,86720.56,1527000.028
002304.SZ,20211018,180.33,180.33,169.89,171.6,184.24,-12.64,-6.8606,113359.82,1965829.038
002304.SZ,20211015,183.08,186.88,180.65,184.24,186.05,-1.81,-0.9729,61387.11,1126821.63
002304.SZ,20211014,188.22,190.8,182.95,186.05,188.21,-2.16,-1.1477,91464.11,1703880.466
002304.SZ,20211013,182.5,194.8,180.0,188.21,182.1,6.11,3.3553,127303.4,2396889.894
002304.SZ,20211012,180.18,185.87,178.66,182.1,180.5,1.6,0.8864,89927.42,1634707.853
002304.SZ,20211011,182.07,183.9,178.29,180.5,178.23,2.27,1.2736,108258.3,1958188.814
002304.SZ,20211008,168.0,180.93,166.51,178.23,166.08,12.15,7.3158,196939.51,3466308.576
002304.SZ,20210930,165.8,169.58,165.1,166.08,165.79,0.29,0.1749,77852.73,1302513.395
002304.SZ,20210929,165.0,167.98,163.61,165.79,166.89,-1.1,-0.6591,72702.65,1202636.241
002304.SZ,20210928,172.7,172.7,164.44,166.89,172.67,-5.78,-3.3474,105522.42,1759192.941
002304.SZ,20210927,166.0,178.52,166.0,172.67,164.01,8.66,5.2802,169649.87,2926433.392
002304.SZ,20210924,162.71,167.78,161.91,164.01,164.51,-0.5,-0.3039,77085.34,1274109.599
002304.SZ,20210923,167.5,168.11,163.01,164.51,167.75,-3.24,-1.9314,102572.4,1692614.763
002304.SZ,20210922,173.39,173.8,165.52,167.75,177.0,-9.25,-5.226,82824.77,1393753.722
002304.SZ,20210917,173.0,180.0,170.3,177.0,172.99,4.01,2.3181,89630.94,1575570.595
002304.SZ,20210916,168.5,177.2,167.0,172.99,167.27,5.72,3.4196,93251.68,1613109.069
002304.SZ,20210915,172.0,172.08,165.5,167.27,172.2,-4.93,-2.863,66474.92,1115727.971
002304.SZ,20210914,171.5,174.5,170.15,172.2,172.7,-0.5,-0.2895,54079.35,934926.669
002304.SZ,20210913,171.02,173.93,169.11,172.7,171.06,1.64,0.9587,61807.88,1061057.945
002304.SZ,20210910,166.5,171.57,165.45,171.06,166.48,4.58,2.7511,69560.89,1181256.576
002304.SZ,20210909,168.02,168.9,165.3,166.48,167.88,-1.4,-0.8339,39886.76,664863.932
002304.SZ,20210908,172.8,172.8,166.9,167.88,171.67,-3.79,-2.2077,50103.44,845614.467
002304.SZ,20210907,170.99,174.48,169.5,171.67,171.86,-0.19,-0.1106,53351.18,918657.344
002304.SZ,20210906,165.8,174.2,164.8,171.86,166.32,5.54,3.3309,87523.14,1502889.062
002304.SZ,20210903,168.64,169.75,162.21,166.32,169.16,-2.84,-1.6789,65401.74,1083839.038
002304.SZ,20210902,171.0,172.18,167.78,169.16,171.0,-1.84,-1.076,52375.96,887988.652
002304.SZ,20210901,166.0,174.75,162.0,171.0,167.54,3.46,2.0652,85797.04,1452857.836
002304.SZ,20210831,169.39,171.48,163.38,167.54,169.4,-1.86,-1.098,54106.96,904216.821
002304.SZ,20210830,170.34,172.58,163.69,169.4,169.1,0.3,0.1774,72262.64,1210820.726
002304.SZ,20210827,168.29,175.91,167.61,169.1,170.0,-0.9,-0.5294,67943.35,1162426.461
002304.SZ,20210826,172.79,174.43,169.0,170.0,173.46,-3.46,-1.9947,52080.97,893810.797
002304.SZ,20210825,171.0,174.96,170.0,173.46,169.65,3.81,2.2458,62194.75,1077731.269
002304.SZ,20210824,169.73,171.0,166.06,169.65,167.2,2.45,1.4653,53439.18,905004.405
002304.SZ,20210823,160.11,169.63,160.1,167.2,158.92,8.28,5.2102,92268.46,1532169.687
