ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20211207,1980.74,1987.87,1946.73,1955.87,1967.3,-11.43,-0.581,36979.89,7286659.622
600519.SH,20211206,1983.0,1990.0,1950.0,1967.3,1971.88,-4.58,-0.2323,31063.88,6122543.819
600519.SH,20211203,1932.0,1988.62,1931.05,1971.88,1934.0,37.88,1.9586,35818.39,7045848.18
600519.SH,20211202,1940.0,1942.15,1919.6,1934.0,1932.99,1.01,0.0523,20421.82,3939731.543
600519.SH,20211201,1950.0,1959.95,1919.02,1932.99,1930.77,2.22,0.115,26254.4,5071457.098
600519.SH,20211130,1985.4,1989.9,1927.5,1930.77,1985.0,-54.23,-2.732,36924.87,7192172.533
600519.SH,20211129,1960.0,1990.0,1951.08,1985.0,1941.01,43.99,2.2663,42399.34,8372476.083
600519.SH,20211126,1964.83,1967.0,1925.0,1941.01,1956.03,-15.02,-0.7679,32655.57,6337346.211
600519.SH,20211125,1953.0,1986.2,1946.25,1956.03,1941.0,15.03,0.7743,39752.88,7803035.266
600519.SH,20211124,1900.0,1966.0,1897.0,1941.0,1896.43,44.57,2.3502,54512.35,10555736.753
600519.SH,20211123,1852.0,1917.0,1852.0,1896.43,1854.27,42.16,2.2737,45782.2,8676297.616
600519.SH,20211122,1849.0,1909.0,1848.0,1854.27,1828.41,25.86,1.4143,42572.68,7994018.41
600519.SH,20211119,1794.19,1849.0,1788.2,1828.41,1792.0,36.41,2.0318,31155.59,5699883.8
600519.SH,20211118,1781.22,1807.0,1770.0,1792.0,1795.0,-3.0,-0.1671,19520.89,3485674.964
600519.SH,20211117,1805.0,1820.5,1790.01,1795.0,1808.0,-13.0,-0.719,24505.46,4411450.908
600519.SH,20211116,1768.0,1818.0,1765.0,1808.0,1761.14,46.86,2.6608,33526.24,6033536.262
600519.SH,20211115,1773.68,1784.0,1750.0,1761.14,1773.78,-12.64,-0.7126,24947.35,4410975.373
600519.SH,20211112,1778.0,1785.05,1766.66,1773.78,1769.6,4.18,0.2362,17606.63,3124400.972
600519.SH,20211111,1752.93,1769.6,1741.5,1769.6,1753.99,15.61,0.89,22651.87,3987243.285
600519.SH,20211110,1790.01,1795.0,1735.0,1753.99,1790.01,-36.02,-2.0123,35348.77,6204803.25
600519.SH,20211109,1819.98,1827.87,1782.0,1790.01,1820.1,-30.09,-1.6532,27351.92,4915170.028
600519.SH,20211108,1820.0,1830.8,1802.05,1820.1,1819.94,0.16,0.0088,17705.72,3220439.334
600519.SH,20211105,1804.21,1844.99,1804.21,1819.94,1804.2,15.74,0.8724,27077.23,4956331.383
600519.SH,20211104,1777.94,1816.0,1769.42,1804.2,1765.0,39.2,2.221,31130.43,5592211.731
600519.SH,20211103,1800.0,1809.98,1761.19,1765.0,1804.64,-39.64,-2.1966,27829.31,4958314.535
600519.SH,20211102,1796.7,1844.22,1788.0,1804.64,1803.0,1.64,0.091,32500.24,5875341.369
600519.SH,20211101,1780.0,1826.3,1760.0,1803.0,1826.08,-23.08,-1.2639,41689.98,7486936.394
600519.SH,20211029,1825.0,1848.0,1813.0,1826.08,1825.49,0.59,0.0323,28775.86,5266898.95
600519.SH,20211028,1825.2,1843.78,1802.0,1825.49,1819.0,6.49,0.3568,29490.93,5383196.101
600519.SH,20211027,1852.3,1858.3,1800.1,1819.0,1861.05,-42.05,-2.2595,34647.29,6302270.905
600519.SH,20211026,1864.03,1878.99,1844.0,1861.05,1873.03,-11.98,-0.6396,21130.26,3934223.714
600519.SH,20211025,1880.0,1885.01,1858.0,1873.03,1901.0,-27.97,-1.4713,32461.33,6076219.948
600519.SH,20211022,1855.0,1921.01,1854.0,1901.0,1844.0,57.0,3.0911,35962.6,6794850.056
600519.SH,20211021,1841.1,1860.0,1829.0,1844.0,1841.0,3.0,0.163,23018.7,4238584.294
600519.SH,20211020,1833.0,1849.8,1806.01,1841.0,1812.18,28.82,1.5903,28663.39,5246404.615
600519.SH,20211019,1800.0,1838.8,1799.88,1812.18,1800.0,12.18,0.6767,40314.56,7330114.082
600519.SH,20211018,1888.0,1888.0,1787.0,1800.0,1916.97,-116.97,-6.1018,69652.02,12651498.607
600519.SH,20211015,1890.1,1929.99,1890.1,1916.97,1911.0,5.97,0.3124,28560.78,5452953.879
600519.SH,20211014,1928.93,1941.8,1896.0,1911.0,1929.9,-18.9,-0.9793,26622.55,5097602.232
600519.SH,20211013,1870.0,1949.95,1862.0,1929.9,1870.99,58.91,3.1486,50142.61,9625769.127
600519.SH,20211012,1866.0,1877.0,1842.42,1870.99,1867.12,3.87,0.2073,30606.42,5688160.837
600519.SH,20211011,1839.51,1889.9,1831.01,1867.12,1839.6,27.52,1.496,37675.57,7040475.327
600519.SH,20211008,1822.42,1878.0,1807.23,1839.6,1830.0,9.6,0.5246,47451.96,8780381.118
600519.SH,20210930,1818.18,1850.22,1803.4,1830.0,1820.0,10.0,0.5495,40539.29,7411735.79
600519.SH,20210929,1809.0,1845.01,1785.9,1820.0,1822.06,-2.06,-0.1131,43290.65,7870151.768
600519.SH,20210928,1848.0,1860.0,1795.0,1822.06,1855.0,-32.94,-1.7757,49221.05,8973408.813
600519.SH,20210927,1750.0,1863.4,1750.0,1855.0,1694.0,161.0,9.5041,126868.92,23270689.695
600519.SH,20210924,1628.0,1719.98,1628.0,1694.0,1635.0,59.0,3.6086,69536.6,11756596.091
600519.SH,20210923,1638.0,1655.88,1625.08,1635.0,1637.69,-2.69,-0.1643,30341.81,4964210.091
