日期,价格,成交额
20201207,3228.04,1162715.03
20201208,3280.05,1158401.68
20201209,3264.39,900370.56
20201210,3275.23,1027224.25
20201211,3287.64,1198766.01
20201214,3341.84,1211608.82
20201215,3319.05,1198011.6
20201216,3376.63,1258554.16
20201217,3451.19,1470749.63
20201218,3441.69,1241782.28
20201221,3441.07,1106475.82
20201222,3504.77,1214327.7
20201223,3454.39,1737853.19
20201224,3419.64,1167372.33
20201225,3426.3,901092.17
20201228,3558.64,1231483.07
20201229,3536.74,1085578.21
20201230,3634.57,969842.13
20201231,3731.09,1097163.85
20210104,3796.32,1255400.03
20210105,3964.57,1773224.88
20210106,4010.82,1971608.91
20210107,4098.94,1481832.84
20210108,3975.24,1693046.22
20210111,3900.48,1713245.99
20210112,4028.34,1396900.02
20210113,4017.51,1429223.21
20210114,3911.24,1412784.46
20210115,3792.56,1805147.54
20210118,3739.07,1415300.77
20210119,3645.02,1423558
20210120,3688.28,1435317.09
20210121,3769.93,1419223.39
20210122,3770.22,1041887.11
20210125,3996.04,1684375.51
20210126,3909.46,1269300.19
20210127,3804.7,1594878.38
20210128,3785.9,1170131.53
20210129,3846.45,1163829.92
20210201,3835.7,983831.56
20210202,3960.93,1387030.54
20210203,4001.43,1134179.08
20210204,4125.09,1365744.39
20210205,4145.93,1418708.28
20210208,4192.31,1238045.06
20210209,4314.07,998362.16
20210210,4558.12,1449043.53
20210218,4378.37,1539480.55
20210219,4341.8,1221068.71
20210222,4005.92,1661848.32
20210223,4039.68,1077423
20210224,3811.71,1615422.55
20210225,3740.16,1122666.76
20210226,3660.33,1279576.75
20210301,3696.42,980531.64
20210302,3553.21,1119646.64
20210303,3675.72,920337.39
20210304,3489.56,1104256.86
20210305,3533.28,1054697.31
20210308,3307.56,1294564.59
20210309,3228.11,1394172.5
20210310,3319.16,1190484.16
20210311,3457.18,1191403.97
20210312,3447.3,937365.71
20210315,3316.6,1117145.68
20210316,3392.13,809822.02
20210317,3433.34,732577.63
20210318,3523.17,935465.66
20210319,3422.35,790580.77
20210322,3409.28,703107.87
20210323,3426.18,671597.11
20210324,3425.45,1014605.68
