ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002142.SZ,20211207,38.9,39.66,37.46,38.25,38.52,-0.27,-0.7009,284606.07,1087460.039
002142.SZ,20211206,38.6,39.38,38.45,38.52,38.97,-0.45,-1.1547,245932.69,957478.492
002142.SZ,20211203,36.56,39.0,36.45,38.97,36.62,2.35,6.4173,422035.07,1593787.046
002142.SZ,20211202,37.1,37.91,35.36,36.62,37.17,-0.55,-1.4797,411119.63,1503034.787
002142.SZ,20211123,37.69,38.99,37.52,38.88,37.62,1.26,3.3493,354924.47,1369732.566
002142.SZ,20211122,38.66,38.7,37.11,37.62,38.76,-1.14,-2.9412,589621.86,2221955.046
002142.SZ,20211119,37.88,39.09,37.62,38.76,38.12,0.64,1.6789,297558.33,1142958.297
002142.SZ,20211118,38.69,38.7,37.92,38.12,38.69,-0.57,-1.4732,123605.7,472637.471
002142.SZ,20211117,39.5,39.93,38.58,38.69,39.7,-1.01,-2.5441,161840.58,631408.965
002142.SZ,20211116,39.92,40.36,39.37,39.7,39.66,0.04,0.1009,165201.7,657200.119
002142.SZ,20211115,39.09,39.89,38.9,39.66,39.02,0.64,1.6402,156150.5,618842.32
002142.SZ,20211112,39.0,39.5,38.77,39.02,38.92,0.1,0.2569,163065.05,638248.535
002142.SZ,20211111,37.0,39.19,36.75,38.92,37.12,1.8,4.8491,283152.94,1092604.091
002142.SZ,20211110,36.7,37.28,36.16,37.12,36.81,0.31,0.8422,177352.43,652432.719
002142.SZ,20211109,37.15,37.48,36.28,36.81,37.24,-0.43,-1.1547,147603.74,541892.103
002142.SZ,20211108,37.28,37.38,36.23,37.24,37.3,-0.06,-0.1609,190685.67,703451.858
002142.SZ,20211105,37.75,38.28,37.07,37.3,37.86,-0.56,-1.4791,197470.44,742852.062
002142.SZ,20211104,38.29,38.71,37.39,37.86,38.36,-0.5,-1.3034,137335.6,520112.312
002142.SZ,20211103,37.71,38.78,37.7,38.36,38.2,0.16,0.4188,166878.93,640328.214
002142.SZ,20211102,39.62,39.97,37.57,38.2,39.6,-1.4,-3.5354,341670.09,1312028.627
002142.SZ,20211101,38.3,39.8,37.74,39.6,38.2,1.4,3.6649,341341.8,1342382.238
002142.SZ,20211029,39.0,39.25,37.83,38.2,37.88,0.32,0.8448,294159.95,1128410.311
002142.SZ,20211028,38.18,38.7,37.36,37.88,38.45,-0.57,-1.4824,220415.57,834636.893
002142.SZ,20211027,38.58,38.87,37.97,38.45,38.73,-0.28,-0.723,149993.34,575736.876
002142.SZ,20211026,38.4,39.0,38.23,38.73,38.64,0.09,0.2329,151246.87,584742.367
002142.SZ,20211025,37.94,38.73,37.58,38.64,38.06,0.58,1.5239,194359.7,745708.781
002142.SZ,20211022,38.11,39.08,37.8,38.06,38.03,0.03,0.0789,217606.01,833948.164
002142.SZ,20211021,37.2,38.26,37.2,38.03,36.81,1.22,3.3143,253761.81,960867.766
002142.SZ,20211020,37.99,38.25,36.61,36.81,37.49,-0.68,-1.8138,198002.33,731467.092
002142.SZ,20211019,37.15,37.88,37.01,37.49,37.17,0.32,0.8609,158605.76,594630.645
002142.SZ,20211018,37.6,37.89,36.8,37.17,37.6,-0.43,-1.1436,246856.96,919070.404
002142.SZ,20211015,37.37,38.24,37.0,37.6,37.11,0.49,1.3204,234585.56,882796.399
002142.SZ,20211014,38.36,38.48,36.74,37.11,38.35,-1.24,-3.2334,253094.29,944277.496
002142.SZ,20211013,37.85,38.86,37.74,38.35,38.2,0.15,0.3927,246162.45,941305.41
002142.SZ,20211012,37.38,38.76,37.11,38.2,37.6,0.6,1.5957,365281.32,1393303.65
002142.SZ,20211011,36.7,38.45,36.7,37.6,36.26,1.34,3.6955,355385.86,1343094.172
002142.SZ,20211008,35.3,36.56,34.9,36.26,35.15,1.11,3.1579,341266.33,1226541.725
002142.SZ,20210930,35.82,35.88,35.01,35.15,36.39,-1.24,-3.4075,334408.83,1180930.528
002142.SZ,20210929,34.38,36.74,34.2,36.39,34.5,1.89,5.4783,435506.8,1554283.577
002142.SZ,20210928,33.36,34.77,33.22,34.5,33.36,1.14,3.4173,275635.67,941338.601
002142.SZ,20210927,33.7,34.08,33.15,33.36,33.95,-0.59,-1.7378,266421.49,892734.433
002142.SZ,20210924,34.13,34.35,33.5,33.95,34.02,-0.07,-0.2058,144574.92,489401.812
002142.SZ,20210923,34.58,34.78,33.8,34.02,34.55,-0.53,-1.534,182098.17,622588.854
002142.SZ,20210922,33.8,34.98,33.38,34.55,35.09,-0.54,-1.5389,237463.85,808157.479
002142.SZ,20210917,33.91,35.1,33.52,35.09,33.6,1.49,4.4345,207808.65,717327.084
002142.SZ,20210916,33.9,34.49,33.51,33.6,33.99,-0.39,-1.1474,197370.39,669775.362
002142.SZ,20210915,34.5,34.9,33.74,33.99,34.68,-0.69,-1.9896,194295.51,662888.932
002142.SZ,20210914,35.59,36.2,34.53,34.68,35.67,-0.99,-2.7754,185901.01,652423.187
002142.SZ,20210913,36.08,36.26,35.48,35.67,36.24,-0.57,-1.5728,144476.82,517200.901
002142.SZ,20210910,35.41,36.83,35.3,36.24,35.46,0.78,2.1997,321053.37,1165788.407
002142.SZ,20210909,34.91,35.66,34.6,35.46,35.0,0.46,1.3143,229584.45,809403.93
002142.SZ,20210908,34.99,35.6,34.68,35.0,35.1,-0.1,-0.2849,230840.11,812927.453
002142.SZ,20210907,34.8,35.25,34.46,35.1,34.7,0.4,1.1527,313045.7,1090885.48
002142.SZ,20210906,34.56,35.03,34.05,34.7,34.68,0.02,0.0577,273702.03,951086.551
002142.SZ,20210903,34.94,35.15,33.91,34.68,34.64,0.04,0.1155,343438.07,1189563.074
002142.SZ,20210902,33.33,34.92,33.03,34.64,33.35,1.29,3.8681,478778.31,1636485.105
002142.SZ,20210901,32.19,33.6,31.7,33.35,32.3,1.05,3.2508,454351.39,1492799.92
002142.SZ,20210831,31.4,32.44,31.02,32.3,31.43,0.87,2.7681,360759.77,1152032.418
002142.SZ,20210830,32.51,32.58,31.01,31.43,32.8,-1.37,-4.1768,490382.03,1546411.37
002142.SZ,20210827,32.59,33.33,32.4,32.8,33.01,-0.21,-0.6362,287797.19,944877.844
002142.SZ,20210826,33.89,33.89,32.47,33.01,33.89,-0.88,-2.5966,386220.57,1274465.53
002142.SZ,20210825,34.17,34.4,33.68,33.89,34.35,-0.46,-1.3392,275339.9,935043.535
002142.SZ,20210824,34.9,35.26,34.05,34.35,34.84,-0.49,-1.4064,349426.45,1201994.582
002142.SZ,20210823,35.11,35.7,34.81,34.84,35.14,-0.3,-0.8537,222090.32,779751.373
002142.SZ,20210820,35.23,35.4,34.2,35.14,35.25,-0.11,-0.3121,266765.92,928964.39
002142.SZ,20210819,36.55,36.83,34.78,35.25,36.51,-1.26,-3.4511,387185.68,1370655.976
002142.SZ,20210818,35.19,37.77,34.51,36.51,34.96,1.55,4.4336,715291.75,2604582.614
002142.SZ,20210817,34.8,36.03,34.55,34.96,34.54,0.42,1.216,393607.29,1390015.254
002142.SZ,20210816,35.94,35.96,34.4,34.54,35.94,-1.4,-3.8954,501920.96,1751645.458
002142.SZ,20210813,35.4,35.98,34.99,35.94,35.4,0.54,1.5254,271249.63,963808.198
002142.SZ,20210812,35.99,36.2,35.01,35.4,35.97,-0.57,-1.5847,275882.33,978048.545
002142.SZ,20210811,35.69,36.63,35.6,35.97,35.69,0.28,0.7845,392579.73,1422953.339
