ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601288.SH,20211207,2.94,2.95,2.93,2.94,2.93,0.01,0.3413,3022806.64,888732.615
601288.SH,20211206,2.93,2.94,2.92,2.93,2.93,0.0,0.0,2165852.45,635246.465
601288.SH,20211203,2.92,2.93,2.92,2.93,2.93,0.0,0.0,1576915.75,461163.779
601288.SH,20211202,2.93,2.93,2.92,2.93,2.93,0.0,0.0,1802016.94,526986.742
601288.SH,20211201,2.91,2.93,2.91,2.93,2.91,0.02,0.6873,1810932.43,529354.121
601288.SH,20211130,2.92,2.92,2.91,2.91,2.92,-0.01,-0.3425,1969398.72,573780.632
601288.SH,20211129,2.91,2.92,2.91,2.92,2.92,0.0,0.0,2426868.42,707234.678
601288.SH,20211126,2.93,2.93,2.91,2.92,2.92,0.0,0.0,2041048.01,596008.249
601288.SH,20211125,2.93,2.94,2.92,2.92,2.94,-0.02,-0.6803,1473214.79,431653.114
601288.SH,20211124,2.93,2.94,2.93,2.94,2.94,0.0,0.0,1277551.83,375007.912
601288.SH,20211123,2.94,2.94,2.93,2.94,2.94,0.0,0.0,1454401.85,426858.421
601288.SH,20211122,2.94,2.95,2.93,2.94,2.95,-0.01,-0.339,1842326.54,541779.989
601288.SH,20211119,2.93,2.95,2.93,2.95,2.93,0.02,0.6826,2314892.41,680471.885
601288.SH,20211118,2.93,2.94,2.92,2.93,2.93,0.0,0.0,1448098.38,424794.807
601288.SH,20211117,2.93,2.94,2.92,2.93,2.93,0.0,0.0,1778329.6,520597.5
601288.SH,20211116,2.93,2.94,2.92,2.93,2.93,0.0,0.0,1444860.97,423157.648
601288.SH,20211115,2.93,2.94,2.92,2.93,2.93,0.0,0.0,1420809.97,416384.79
601288.SH,20211112,2.93,2.94,2.92,2.93,2.94,-0.01,-0.3401,1507437.26,441395.622
601288.SH,20211111,2.91,2.94,2.91,2.94,2.91,0.03,1.0309,2288790.63,670116.515
601288.SH,20211110,2.92,2.93,2.91,2.91,2.92,-0.01,-0.3425,1849563.7,539373.113
601288.SH,20211109,2.93,2.93,2.92,2.92,2.92,0.0,0.0,1220665.87,356870.671
601288.SH,20211108,2.92,2.93,2.92,2.92,2.92,0.0,0.0,1334760.75,390205.928
601288.SH,20211105,2.92,2.93,2.92,2.92,2.92,0.0,0.0,1400457.53,409354.619
601288.SH,20211104,2.93,2.94,2.92,2.92,2.93,-0.01,-0.3413,1757474.51,514137.107
601288.SH,20211103,2.93,2.94,2.92,2.93,2.93,0.0,0.0,1752127.82,513769.663
601288.SH,20211102,2.96,2.96,2.92,2.93,2.96,-0.03,-1.0135,3040744.36,894058.696
601288.SH,20211101,2.94,2.96,2.93,2.96,2.94,0.02,0.6803,2672993.29,788766.136
601288.SH,20211029,2.94,2.94,2.93,2.94,2.93,0.01,0.3413,1487462.68,436756.066
601288.SH,20211028,2.94,2.94,2.92,2.93,2.94,-0.01,-0.3401,1586692.49,465108.127
601288.SH,20211027,2.94,2.95,2.93,2.94,2.94,0.0,0.0,1617751.36,474975.183
601288.SH,20211026,2.96,2.96,2.94,2.94,2.96,-0.02,-0.6757,2177354.67,641859.772
601288.SH,20211025,2.96,2.97,2.95,2.96,2.96,0.0,0.0,1439506.37,425766.332
601288.SH,20211022,2.97,2.98,2.95,2.96,2.97,-0.01,-0.3367,1671062.55,495329.577
601288.SH,20211021,2.95,2.97,2.94,2.97,2.95,0.02,0.678,2357274.62,697813.563
601288.SH,20211020,2.95,2.96,2.94,2.95,2.95,0.0,0.0,1482814.0,437032.269
601288.SH,20211019,2.95,2.96,2.95,2.95,2.96,-0.01,-0.3378,1485276.19,438564.134
601288.SH,20211018,2.95,2.96,2.94,2.96,2.95,0.01,0.339,2012591.36,594658.945
601288.SH,20211015,2.96,2.96,2.95,2.95,2.95,0.0,0.0,1612849.78,476510.435
601288.SH,20211014,2.97,2.97,2.95,2.95,2.96,-0.01,-0.3378,1332778.79,393993.683
601288.SH,20211013,2.98,2.98,2.96,2.96,2.98,-0.02,-0.6711,1423437.45,422339.01
601288.SH,20211012,2.98,2.99,2.97,2.98,2.99,-0.01,-0.3344,2406114.96,716972.18
601288.SH,20211011,2.96,3.0,2.95,2.99,2.96,0.03,1.0135,3084897.27,920163.173
601288.SH,20211008,2.95,2.97,2.94,2.96,2.94,0.02,0.6803,2600396.1,768969.528
601288.SH,20210930,2.95,2.96,2.93,2.94,2.96,-0.02,-0.6757,2060522.63,606750.339
601288.SH,20210929,2.94,2.97,2.93,2.96,2.95,0.01,0.339,2480507.13,731292.488
601288.SH,20210928,2.93,2.96,2.93,2.95,2.93,0.02,0.6826,2160211.09,636695.31
601288.SH,20210927,2.94,2.95,2.92,2.93,2.94,-0.01,-0.3401,2304529.93,675746.28
601288.SH,20210924,2.96,2.97,2.94,2.94,2.96,-0.02,-0.6757,1728572.51,510736.359
601288.SH,20210923,2.96,2.98,2.95,2.96,2.95,0.01,0.339,1984368.17,588201.53
601288.SH,20210922,2.95,2.96,2.94,2.95,2.98,-0.03,-1.0067,2319195.77,684075.436
601288.SH,20210917,2.97,2.99,2.97,2.98,2.97,0.01,0.3367,1895274.08,564732.417
601288.SH,20210916,2.98,3.0,2.97,2.97,2.98,-0.01,-0.3356,2632774.0,785118.731
601288.SH,20210915,2.99,3.0,2.97,2.98,2.99,-0.01,-0.3344,2007711.59,599470.14
601288.SH,20210914,3.04,3.05,2.99,2.99,3.03,-0.04,-1.3201,2836145.13,855457.651
601288.SH,20210913,3.03,3.05,3.02,3.03,3.04,-0.01,-0.3289,2331395.16,706945.44
601288.SH,20210910,3.04,3.08,3.03,3.04,3.04,0.0,0.0,3263723.57,996707.802
601288.SH,20210909,3.03,3.05,3.02,3.04,3.04,0.0,0.0,1716369.94,521023.459
601288.SH,20210908,3.03,3.05,3.01,3.04,3.02,0.02,0.6623,2088002.94,633163.5
601288.SH,20210907,3.01,3.04,2.99,3.02,3.01,0.01,0.3322,2456223.9,739318.33
601288.SH,20210906,3.0,3.02,2.99,3.01,3.01,0.0,0.0,1601023.15,481247.254
601288.SH,20210903,2.99,3.01,2.97,3.01,2.98,0.03,1.0067,2172751.44,651084.662
601288.SH,20210902,2.98,2.99,2.97,2.98,2.99,-0.01,-0.3344,1602181.07,477514.053
