日期,价格,成交额
20201207,155.73,12043610.04
20201208,155.32,9336418.21
20201209,154.85,9248171.19
20201210,154.19,9412832.77
20201211,152.21,12319224.13
20201214,154.53,9813112.91
20201215,153.66,11205607.61
20201216,154.13,9192461.4
20201217,154.72,10102847.33
20201218,151.89,8939085.7
20201221,150.9,8266460.58
20201222,148.35,12592119.56
20201223,148.82,9019489.58
20201224,150.2,5931785.28
20201225,150.33,6039133.65
20201228,152.37,9197700.73
20201229,153.16,9008197.92
20201230,153.13,10320616.55
20201231,154.83,11847124.03
20210104,151.64,15039382.09
20210105,149.94,14795298.34
20210106,155.88,13658725.13
20210107,158.65,13177114.31
20210108,159.87,12405136.28
20210111,162.98,17555149.68
20210112,166.53,13097452.22
20210113,165.24,13033806.94
20210114,164.53,13139735.7
20210115,169.55,26818334.49
20210118,175.78,17941965.31
20210119,173.76,16546355.02
20210120,172.42,12065328.76
20210121,173.36,9998838.26
20210122,170.1,11208125.69
20210125,170.69,10195971.59
20210126,169.57,8734265.27
20210127,173.68,11545642.56
20210128,171.59,10078268.36
20210129,171.64,12871779.06
20210201,176.96,14293802.4
20210202,174.79,12503287.51
20210203,179.39,12852481.04
20210204,180.59,11592001.74
20210205,185.88,20922360.76
20210208,187.42,14511547.73
20210209,186.86,12373105.46
20210210,184.89,18846035.96
20210218,188.55,16746125.57
20210219,186.92,12541001.51
20210222,181.32,20660589.82
20210223,183.74,16992651.63
20210224,180.35,14696078.65
20210225,183.02,16459752.46
20210226,174.56,17182847.94
20210301,174.9,10525112.94
20210302,173.06,11951854.67
20210303,183.8,17772514.62
20210304,180.89,16162173.02
20210305,176.7,16694418.17
20210308,172.41,16468853.39
20210309,167.71,16954174.9
20210310,167.42,11722946.2
20210311,174.01,14530150.74
20210312,177.01,10743863.82
20210315,178.67,14620080.55
20210316,181.77,10857055.47
20210317,177.73,9578683.91
20210318,178.99,8517148.66
20210319,172.14,14614917.31
20210322,177.08,10871681.1
20210323,175.74,9646946.98
20210324,172.39,9161390.35
20210325,171.33,8552059.16
20210326,173.35,9785159.58
20210329,173.19,15703412.76
20210330,174.93,11525913.44
20210331,174.8,14854432.85
20210401,175.12,7583285.2
20210402,172.81,9700508.62
20210406,173.37,6236315.91
20210407,172.75,8650976.79
20210408,172.33,6009260.1
20210409,171.38,6236297.59
20210412,170.34,8772936.27
20210413,169.69,7806157
20210414,167.73,8304191.63
20210415,166.06,9662587.97
20210416,166.1,5892295.01
20210419,170.51,9435090.67
20210420,171.61,7994959.41
20210421,176.44,8868332.31
20210422,174.49,9221814.05
20210423,176.24,7785503.11
20210426,175,9075984.88
20210427,174.54,6264395.65
20210428,175.26,7810350.76
20210429,178.46,9849166.75
20210430,176.03,13707079.3
20210506,178.06,8938454.75
20210507,180.11,11927020.15
20210510,178.35,8991341.61
20210511,178.37,7163208.07
20210512,179.11,7805447.18
20210513,178.04,6336249.79
20210514,180.55,7951044.09
20210517,182.1,7976497.51
20210518,182.42,5507211.57
20210519,178.47,8021552.62
20210520,180.41,6680696.59
20210521,177.6,6673432.08
20210524,177.34,5706595.3
20210525,186.3,14883006.56
20210526,187.59,10427196.81
20210527,185.68,8785004.25
20210528,185.96,8061180.6
20210531,184.67,9126916.6
20210601,183,8687200.74
20210602,182.87,10530376.53
20210603,180.96,9108623.09
20210604,184.23,10754772.07
20210607,183,7450881.77
20210608,181.95,9757429.36
20210609,181.4,8411922.35
20210610,180.43,8949783.52
20210611,178.05,10143862.53
20210615,175.37,9257191.07
20210616,176.69,7562627.32
20210617,175.24,8211588.31
20210618,173.04,8909223.63
20210621,170.7,8754746.04
20210622,174.34,8736432.35
20210623,173.05,8033600.11
20210624,173.95,8104728.68
20210625,176.68,8266686.4
20210628,172.42,8373972.25
20210629,170.06,7935645.48
20210630,172.04,6967113.99
20210701,176.23,9034850.96
20210702,169.05,10931526.75
20210705,169.35,8923004.15
20210706,170.87,8980519.69
20210707,170.26,6716440
20210708,163.22,11946677.69
20210709,161.12,10403504.79
20210712,161.25,13753797.93
20210713,160.79,9976969.92
20210714,158.24,12535104.55
20210715,164.14,10176166.56
20210716,163.73,7056797.25
20210719,163.74,7478257.92
20210720,160.14,6062390.77
20210721,159,8093625.94
20210722,160.1,7098454.64
20210723,158.74,6567183.67
20210726,152.18,11326152.52
20210727,146.64,11046844.15
20210728,149.82,11255783.91
20210729,149.25,8509888.53
20210730,146.22,8512788.73
20210802,149.17,10603250.44
20210803,148.49,7400789.58
20210804,146.72,6647920.64
20210805,146.36,5954793.99
20210806,146.78,6185780.59
20210809,152.73,10269296.67
20210810,156.64,8881568.4
20210811,157.91,11928349.57
20210812,156.97,5624868.56
20210813,157.96,4997408.56
20210816,156.44,6344038.55
20210817,154.95,8148112.06
20210818,162.2,11953024.81
20210819,158.18,7694191.14
20210820,156.42,9700578.38
20210823,156.72,6965561.98
20210824,156.89,6764694.07
20210825,155.23,5783135.4
20210826,151.45,6746902.2
20210827,151.85,6388484.03
20210830,147.62,10781838.03
20210831,149.79,10558750.95
20210901,153.88,15324717.21
20210902,156.88,10487662.2
20210903,157.16,11925619.16
20210906,156.72,9202544.95
20210907,160.32,11485837.94
20210908,159.43,9752169.18
20210909,159.09,8290129.76
20210910,164.2,15856928.12
20210913,163.33,10749134.44
20210914,158.2,12518224.45
20210915,156.55,8796408.75
20210916,154.59,10280328.41
20210917,156.16,7866592.77
20210922,152.24,11545753.64
20210923,151.12,8973024.54
20210924,150.23,7733195.6
20210927,150.3,9503122.51
20210928,153.69,9143444.44
20210929,157.02,10660189.56
20210930,154.15,7693129.83
20211008,157.22,9822076.69
20211011,162.31,11669047.95
20211012,162.88,9032443.97
20211013,162.88,6200454.17
20211014,160.39,5297015.65
20211015,162.48,7110996.85
20211018,160.15,7090165.44
20211019,161.73,6229030.56
20211020,160.15,5907989.8
20211021,164.31,9971691.76
20211022,165.04,7552407.08
20211025,165.73,6485693.61
20211026,166.09,7515339.17
20211027,164.43,7080357.21
20211028,163.14,6001640.87
20211029,162.55,7263879.2
20211101,164.46,12330321.49
20211102,158.5,15078912.9
20211103,158.21,7988688.54
20211104,157.51,6992459.83
20211105,156.49,6367300.86
20211108,155.79,7145611.98
20211109,155.55,5856880.84
20211110,155.04,7498436.35
20211111,161.06,10230157.74
20211112,160.57,6142419.61
20211115,162.07,5433915.52
20211116,161.17,5403852.85
20211117,159.15,5557705.95
20211118,157.47,5262998.65
20211119,159.82,7115778.31
20211122,157.55,7108886.35
20211123,158.63,6657821.28
20211124,156.57,5595603.54
20211125,158.27,4825995.38
20211126,156.16,6918334.38
20211129,155.38,8235969.85
20211130,116.55,6724570.1
20211201,117.54,6176449.22
20211202,118.68,7836903.7
20211203,119.05,6394268.09
20211206,120.29,10499040.21
20211207,121.56,12213237.68
